lesson,domain,condition,run,Multimedia,Spatial_Contiguity,Modality,Redundancy,Signaling,Coherence
01,LearningTheory,V1,1,1,1,1,1,3,7
01,LearningTheory,V1,2,1,1,3,0,2,6
01,LearningTheory,V1,3,1,1,2,0,2,5
01,LearningTheory,V2,1,8,8,9,7,6,8
01,LearningTheory,V2,2,8,8,9,7,7,7
01,LearningTheory,V2,3,8,8,9,8,7,7
02,Climate,V1,1,1,1,1,0,2,5
02,Climate,V1,2,1,1,1,0,2,5
02,Climate,V1,3,1,1,1,1,2,5
02,Climate,V2,1,8,8,7,5,7,8
02,Climate,V2,2,8,8,9,5,7,8
02,Climate,V2,3,8,8,9,7,7,8
03,IPLaw,V1,1,1,1,1,0,1,5
03,IPLaw,V1,2,1,1,1,0,1,5
03,IPLaw,V1,3,1,1,1,0,1,5
03,IPLaw,V2,1,9,9,10,7,7,9
03,IPLaw,V2,2,8,9,9,6,6,10
03,IPLaw,V2,3,8,8,10,6,6,9
04,ColdWar,V1,1,2,2,1,0,1,8
04,ColdWar,V1,2,2,2,1,1,2,10
04,ColdWar,V1,3,1,5,1,0,1,5
04,ColdWar,V2,1,9,8,9,6,6,10
04,ColdWar,V2,2,9,9,10,7,6,9
04,ColdWar,V2,3,9,9,8,6,6,10
05,Nutrient,V1,1,1,1,2,0,1,5
05,Nutrient,V1,2,1,1,2,0,1,8
05,Nutrient,V1,3,1,2,1,1,2,5
05,Nutrient,V2,1,9,9,8,5,7,9
05,Nutrient,V2,2,8,9,8,5,7,9
05,Nutrient,V2,3,8,8,8,5,6,9
06,ConsumerBehaviour,V1,1,1,1,1,0,1,5
06,ConsumerBehaviour,V1,2,1,1,1,1,1,5
06,ConsumerBehaviour,V1,3,1,1,1,0,1,5
06,ConsumerBehaviour,V2,1,8,7,8,5,6,9
06,ConsumerBehaviour,V2,2,8,8,8,5,5,9
06,ConsumerBehaviour,V2,3,8,8,8,6,6,9
07,Finance,V1,1,1,1,1,0,1,5
07,Finance,V1,2,1,1,1,0,1,5
07,Finance,V1,3,1,1,1,0,3,6
07,Finance,V2,1,8,8,10,7,7,8
07,Finance,V2,2,8,8,9,7,6,7
07,Finance,V2,3,8,8,9,7,6,9
